unique_id,taluka,disease,date,confirmed_cases,true_cases,taluka_true_cases,taluka_confirmed_cases,population,vacancy_rate,lab_capacity,public_reporting_rate,private_reporting_rate,private_ari_reports,private_fever_reports,antimalarial_sales,rifampicin_sales,taluka_antimalarial_sales,taluka_rifampicin_sales,rainfall_mm,humidity,temperature,mobility_index,pharma_scale,total_beds,occupied_beds,available_beds
Taluka_001__Dengue,Taluka_001,Dengue,2023-01-02,5,12,28,7,171958,0.274,0.481,0.483,0.061,2,4,13,6,51,22,11.385447406809456,58.349767824495366,19.3484276913966,1.023,1.96,343,136,207
Taluka_001__Malaria,Taluka_001,Malaria,2023-01-02,0,0,28,7,171958,0.274,0.481,0.468,0.061,0,0,11,4,51,22,11.385447406809456,58.349767824495366,19.3484276913966,1.023,1.96,343,136,207
Taluka_001__Influenza,Taluka_001,Influenza,2023-01-02,2,16,28,7,171958,0.274,0.481,0.463,0.061,11,6,14,6,51,22,11.385447406809456,58.349767824495366,19.3484276913966,1.023,1.96,343,136,207
Taluka_001__Cholera,Taluka_001,Cholera,2023-01-02,0,0,28,7,171958,0.274,0.481,0.372,0.061,0,1,13,6,51,22,11.385447406809456,58.349767824495366,19.3484276913966,1.023,1.96,343,136,207
Taluka_001__Dengue,Taluka_001,Dengue,2023-01-09,1,4,24,5,171958,0.274,0.497,0.47,0.049,1,0,15,4,57,18,3.699184717129027,65.08052015036752,18.449280496166388,1.034,1.96,343,134,209
Taluka_001__Malaria,Taluka_001,Malaria,2023-01-09,1,1,24,5,171958,0.274,0.497,0.465,0.049,0,0,14,5,57,18,3.699184717129027,65.08052015036752,18.449280496166388,1.034,1.96,343,134,209
Taluka_001__Influenza,Taluka_001,Influenza,2023-01-09,3,18,24,5,171958,0.274,0.497,0.473,0.049,12,5,16,6,57,18,3.699184717129027,65.08052015036752,18.449280496166388,1.034,1.96,343,134,209
Taluka_001__Cholera,Taluka_001,Cholera,2023-01-09,0,1,24,5,171958,0.274,0.497,0.526,0.049,0,0,12,3,57,18,3.699184717129027,65.08052015036752,18.449280496166388,1.034,1.96,343,134,209
Taluka_001__Dengue,Taluka_001,Dengue,2023-01-16,2,6,24,7,171958,0.274,0.513,0.488,0.056,0,3,16,4,72,15,25.610240685886033,58.000854398870736,23.588306534961408,0.972,1.96,343,134,209
Taluka_001__Malaria,Taluka_001,Malaria,2023-01-16,0,3,24,7,171958,0.274,0.513,0.447,0.056,2,3,19,3,72,15,25.610240685886033,58.000854398870736,23.588306534961408,0.972,1.96,343,134,209
Taluka_001__Influenza,Taluka_001,Influenza,2023-01-16,5,13,24,7,171958,0.274,0.513,0.493,0.056,7,4,22,5,72,15,25.610240685886033,58.000854398870736,23.588306534961408,0.972,1.96,343,134,209
Taluka_001__Cholera,Taluka_001,Cholera,2023-01-16,0,2,24,7,171958,0.274,0.513,0.475,0.056,0,3,15,3,72,15,25.610240685886033,58.000854398870736,23.588306534961408,0.972,1.96,343,134,209
