unique_id,ward_id,disease_type,date,new_cases,rainfall_mm,humidity,temperature,citizen_reports,total_beds,occupied_beds,available_beds,icu_beds
Ward_001__Dengue,Ward_001,Dengue,2023-01-02,4,10.73,67.8,21.7,1,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-01-09,10,0.0,60.9,21.6,2,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2023-01-16,8,0.0,63.2,19.2,5,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2023-01-23,6,6.45,58.2,21.7,4,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2023-01-30,4,17.44,56.2,22.8,1,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2023-02-06,0,14.51,67.2,18.4,0,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2023-02-13,4,0.5,53.6,26.9,2,178,76,102,17
Ward_001__Dengue,Ward_001,Dengue,2023-02-20,5,0.0,65.4,23.0,3,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2023-02-27,8,16.02,59.4,21.3,5,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2023-03-06,7,11.19,64.4,21.1,7,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2023-03-13,11,12.39,63.0,26.2,4,178,83,95,17
Ward_001__Dengue,Ward_001,Dengue,2023-03-20,8,0.0,66.7,24.5,6,178,80,98,17
Ward_001__Dengue,Ward_001,Dengue,2023-03-27,8,32.12,66.4,26.4,2,178,85,93,17
Ward_001__Dengue,Ward_001,Dengue,2023-04-03,5,0.0,65.5,25.3,2,178,77,101,17
Ward_001__Dengue,Ward_001,Dengue,2023-04-10,4,9.71,52.9,26.9,1,178,82,96,17
Ward_001__Dengue,Ward_001,Dengue,2023-04-17,7,5.24,61.4,25.2,1,178,79,99,17
Ward_001__Dengue,Ward_001,Dengue,2023-04-24,6,0.0,57.3,27.6,3,178,81,97,17
Ward_001__Dengue,Ward_001,Dengue,2023-05-01,4,0.0,55.7,27.7,2,178,78,100,17
